url,Course Title,Course Headline,Instructor,off_price,orig_price,Rating,Number of Ratings,Course Length,Number of Lectures,Difficulity,Subscribers
https://www.udemy.com/course/red-hat-system-administration-lll/,Linux Redhat Administration III - Automation Ansible-RHEL8,Prepare for Linux Exam-294 Ansible with valid Exam Questions with Explanation,Shikhar Verma • 40k+ Students Worldwide,14.99,24.99,4.7,325,9,87,Intermediate,2499 
https://www.udemy.com/course/arm-raspberry-pi-assembly-programming-from-ground-uptm/,ARM Raspberry Pi Assembly Language From Ground Up™,Practical Assembly Programming on the Raspberry Pi,"Israel Gbati, BHM Engineering Academy",14.99,89.99,4.3,326,7,97,All Levels,3033 
https://www.udemy.com/course/fpga-turbo-series-uart/,FPGA Turbo Series - Implementing a UART,Develop a fully functional UART from start to finish and implement on your own FPGA development board,Jordan Christman,14.99,49.99,4.3,326,2,23,All Levels,2290 
https://www.udemy.com/course/master-rxjs-without-breaking-a-sweat/,Master RxJS 6 Without Breaking A Sweat - 2021 RxJS 7 updated,Learn how to solve common programming problems using RxJS,Maurice de Beijer,14.99,89.99,4.4,326,2.5,45,Intermediate,1992 
https://www.udemy.com/course/an-introduction-to-the-ethernetip-protocol/,An Introduction to the Ethernet/IP Protocol,Learn the fundamentals of the Ethernet/IP protocol using both a theoretical and practical approach,Emile Ackbarali,14.99,34.99,4.4,324,2.5,31,Intermediate,1536 
https://www.udemy.com/course/data-warehouse-etl-testing-data-quality-management-a-z/,Data Warehouse ETL Testing & Data Quality Management A-Z,ETL Testing and Data Quality Management for beginners with practical exercises and certificate of completion.,Lorenz DS,14.99,19.99,4.3,324,2,20,Beginner,1473 
https://www.udemy.com/course/google-cloud-platform-associate-cloud-engineer-bootcamp/,Google Cloud Platform Associate Cloud Engineer Bootcamp,Get Certified and become a Cloud Expert. GCP Associate Cloud Engineer. One of the latest certifications from GCP,Joseph Holbrook (The Cloud Tech Guy),19.99,,3.8,326,10.5,93,Intermediate,6370 
https://www.udemy.com/course/complete-x86-assembly-language-120-practical-exercise/,Complete x86 Assembly Programming | 120+ Practical Exercises,"Master x86 Assembly language from zero to hero: the base of 8086, 8088,pentium, i3, i5, i7 assembly language easily","x86 Assembly Community, Assembly Language",14.99,89.99,4.1,326,10,138,All Levels,2768 
https://www.udemy.com/course/web-scraping-with-python-using-requests-lxml-splash/,"Web Scraping 101 with Python3 using REQUESTS, LXML & SPLASH","Web Scraping for absolute beginners with Python using Requests, the powerful LXML and Splash for JavaScript websites",Ahmed Rafik,14.99,19.99,4.6,326,4.5,65,Beginner,2638 
https://www.udemy.com/course/wireshark-crash-course/,Wireshark Crash Course,Learn hands on network analysis start to your journey towards a career in network engineering and cyber security,Kyle Slosek,14.99,29.99,4.6,326,2,25,Beginner,4595 
